 !	exclam
 “	quotedbl
 #	numbersign
 $	dollar
 %	percent
 &	ampersand
 ’	quoteright
 (	parenleft
 )	parenright
 *	asterisk
 +	plus
 ,	comma
 ‐	hyphen
 .	period
 /	slash
 :	colon
 ;	semicolon
 <	less
 =	equal
 >	greater
 ?	question
 @	at
 [	bracketleft
 \	backslash
 ]	bracketright
 ^	circumflex
 _	underscore
 ‘	quoteleft
 {	braceleft
 |	bar
 }	braceright
 ~	tilde
 ¡	exclamdown
 ¢	cent
 £	sterling
 ¤	currency
 ¥	yen
 ¦	brokenbar
 §	section
 ¨	dieresis
 ©	copyright
 ª	ordfeminine
 «	guillemotleft
 ¬	logicalnot
 ®	registered
 ¯	macron
 °	degree
 ±	plusminus
 ²	twosuperior
 ³	threesuperior
 ´	acute
 µ	mu
 ¶	paragraph
 ·	periodcentered
 ¸	cedilla
 ¹	onesuperior
 º	ordmasculine
 »	guillemotright
 ¼	onequarter
 ½	onehalf
 ¾	threequarters
 ¿	questiondown
 À	Agrave
 Á	Aacute
 Â	Acircumflex
 Ã	Atilde
 Ä	Adieresis
 Å	Aring
 Æ	AE
 Ç	Ccedilla
 È	Egrave
 É	Eacute
 Ê	Ecircumflex
 Ë	Edieresis
 Ì	Igrave
 Í	Iacute
 Î	Icircumflex
 Ï	Idieresis
 Ð	Eth
 Ñ	Ntilde
 Ò	Ograve
 Ó	Oacute
 Ô	Ocircumflex
 Õ	Otilde
 Ö	Odieresis
 ×	multiply
 Ø	Oslash
 Ù	Ugrave
 Ú	Uacute
 Û	Ucircumflex
 Ü	Udieresis
 Ý	Yacute
 Þ	Thorn
 ß	germandbls
 à	agrave
 á	aacute
 â	acircumflex
 ã	atilde
 ä	adieresis
 å	aring
 æ	ae
 ç	ccedilla
 è	egrave
 é	eacute
 ê	ecircumflex
 ë	edieresis
 ì	igrave
 í	iacute
 î	icircumflex
 ï	idieresis
 ð	eth
 ñ	ntilde
 ò	ograve
 ó	oacute
 ô	ocircumflex
 õ	otilde
 ö	odieresis
 ÷	divide
 ø	oslash
 ù	ugrave
 ú	uacute
 û	ucircumflex
 ü	udieresis
 ý	yacute
 þ	thorn
 ÿ	ydieresis
 Ð	Eth
 ð	eth
 Þ	Thorn
 þ	thorn
 Æ	AE
 æ	ae
 Œ	OE
 œ	oe
 ß	germandbls
 Á	Aacute
 É	Eacute
 Í	Iacute
 Ó	Oacute
 Ú	Uacute
 á	aacute
 é	eacute
 í	iacute
 ó	oacute
 ú	uacute
 Ä	Adieresis
 Ë	Edieresis
 Ï	Idieresis
 Ö	Odieresis
 Ü	Udieresis
 ä	adieresis
 ë	edieresis
 ï	idieresis
 ö	odieresis
 ü	udieresis
 ÿ	ydieresis
 Â	Acircumflex
 Ê	Ecircumflex
 Î	Icircumflex
 Ô	Ocircumflex
 Û	Ucircumflex
 â	acircumflex
 ê	ecircumflex
 î	icircumflex
 ô	ocircumflex
 û	ucircumflex
 À	Agrave
 È	Egrave
 Ì	Igrave
 Ò	Ograve
 Ù	Ugrave
 à	agrave
 è	egrave
 ì	igrave
 ò	ograve
